id	name	rawTweet	postTweet	label	mentions	hashtags
12	expres_ua	RT @pauloCanning: Leading Ukrainian reformist MP: 'Jamala's victory is one more chance for Ukraine presented by fate' https://t.co/oaYGjJ02…	chance fate jamala leading mp presented reformist rt ukraine ukrainian victory	2	['@pauloCanning']	[]
13	oliv917	RT @DanielleRyanJ: Jamala confirms #Eurovision song is about 2014 as well as 1944. Should be disqualified and Australia deemed winner. http…	1944 2014 australia confirms deemed disqualified eurovision jamala rt song winner	1	['@DanielleRyanJ']	['#Eurovision']
14	JakoVarrd	RT @AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reason to celebrate https://t…	abuse amp celebrate crimean giving incredible jamala performance persecution reason rt suffering tatars	2	['@AmbassadorPower']	['#Jamala']
16	marizar_ud	RT @Inthepeninsula: .@Jamala sings about 1944 at #Eurovision, when in 2016 10,000+ have been murdered by #Kiev #Ukraine's bombardments whic…	000 10 1944 2016 @jamala bombardments eurovision kiev murdered rt sings ukraine whic	1	['@Inthepeninsula', '@Jamala']	['#Eurovision', '#Kiev', '#Ukraine']
16	marizar_ud	RT @JohnDelacour: .@Inthepeninsula What @jamala is singing about is USSR’s removal from #Crimea of her grandparents’ generation, ardent wor…	@inthepeninsula ardent crimea generation grandparents removal rt singing ussr wor	1	['@JohnDelacour', '@Inthepeninsula', '@jamala']	['#Crimea']
17	StormBringer15	Nazi Svoboda party is angry about #Jamala's #ESC2016 victory confirming that #Ukraine is not for Ukrainians. #Eurovision  #Eurovision2016	angry confirming esc2016 eurovision eurovision2016 jamala nazi party svoboda ukraine ukrainians victory	1	[]	['#Jamala', '#ESC2016', '#Ukraine', '#Eurovision', '#Eurovision2016']
18	TarasKachkowski	RT @myroslavapetsa: Let's hope Jamala's victory puts annexed Crimea back on to-cover list for international press. There are a lot of stori…	annexed back cover crimea hope international jamala list lot press puts rt stori to victory	2	['@myroslavapetsa']	[]
19	CyberUkrop	RT @LUGANSK_TODAY: My friends from #Luhansk meeting #Jamala at the airport in #Kiev! https://t.co/tatOURMldP	airport friends jamala kiev luhansk meeting rt	2	['@LUGANSK_TODAY']	['#Luhansk', '#Jamala', '#Kiev']
21	fxnkls	RT @UmlandAndreas: Why Russian chauvinists hate Crimean Tatars: Test of Jamala https://t.co/VPm42JJLbd	chauvinists crimean hate of jamala rt russian tatars test	2	['@UmlandAndreas']	[]
12	expres_ua	RT @LUGANSK_TODAY: My friends from #Luhansk meeting #Jamala at the airport in #Kiev! https://t.co/tatOURMldP	airport friends jamala kiev luhansk meeting rt	2	['@LUGANSK_TODAY']	['#Luhansk', '#Jamala', '#Kiev']
22	loogunda	RT @JuliaDavisNews: LOL- RT declares @jamala's victory as the day the music died and the death of #Eurovision. Hilariously bad losers! ht…	bad day death declares died eurovision hilariously ht lol losers music rt rt victory	2	['@JuliaDavisNews', '@jamala']	['#Eurovision']
33	winss7	RT @KenRoth: Jamala's victorious 1944 on plight of Crimean Tatars resonated since it's also about 2014. https://t.co/gvLUYrZeSz https://t…	1944 2014 crimean jamala plight resonated rt tatars victorious	1	['@KenRoth']	[]
34	yuuji_K1	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…	ballad charged contest jamala politically rt singer song ukrainian won	2	['@nytimes', '@Eurovision']	[]
12	expres_ua	RT @KenRoth: Jamala's victorious 1944 on plight of Crimean Tatars resonated since it's also about 2014. https://t.co/gvLUYrZeSz https://t…	1944 2014 crimean jamala plight resonated rt tatars victorious	1	['@KenRoth']	[]
35	RebHarms	RT @KenRoth: Jamala's victorious 1944 on plight of Crimean Tatars resonated since it's also about 2014. https://t.co/gvLUYrZeSz https://t…	1944 2014 crimean jamala plight resonated rt tatars victorious	1	['@KenRoth']	[]
12	expres_ua	RT @yevhenfedchenko: New big story for Russian #agitprop: @tassagency claims ALL Danish jury gave wrong points to #jamala_eurovision2016 ht…	agitprop big claims danish gave ht jamala_eurovision2016 jury points rt russian story wrong	1	['@yevhenfedchenko', '@tassagency']	['#agitprop', '#jamala_eurovision2016']
37	balppr	RT @KenRoth: Jamala's victorious 1944 on plight of Crimean Tatars resonated since it's also about 2014. https://t.co/gvLUYrZeSz https://t…	1944 2014 crimean jamala plight resonated rt tatars victorious	1	['@KenRoth']	[]
38	jarbukk07	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…	ballad charged contest jamala politically rt singer song ukrainian won	2	['@nytimes', '@Eurovision']	[]
39	wavetossed	RT @Inthepeninsula: .@Jamala sings about 1944 at #Eurovision, when in 2016 10,000+ have been murdered by #Kiev #Ukraine's bombardments whic…	000 10 1944 2016 @jamala bombardments eurovision kiev murdered rt sings ukraine whic	1	['@Inthepeninsula', '@Jamala']	['#Eurovision', '#Kiev', '#Ukraine']
18	TarasKachkowski	RT @EuromaidanPress: Russian coverage of Jamala’s victory descends to the level of old Soviet anecdote https://t.co/3KiPGGae51 https://t.co…	coverage descends jamala level rt russian soviet anecdote victory	2	['@EuromaidanPress']	[]
40	IMARGOMORTIS	RT @AJENews: Ukraine's Jamala wins Eurovision contest with 1944 https://t.co/djgXiXgpvT	1944 contest eurovision jamala rt ukraine wins	2	['@AJENews']	[]
13	oliv917	RT @VeraVanHorne: And the kicker: parents of @jamala are very happy in Crimea, became Russian citizens:D  https://t.co/aWtfHNtdfa https://t…	citizens crimea happy kicker parents rt russian	1	['@VeraVanHorne', '@jamala']	[]
18	TarasKachkowski	RT @AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reason to celebrate https://t…	abuse amp celebrate crimean giving incredible jamala performance persecution reason rt suffering tatars	2	['@AmbassadorPower']	['#Jamala']
42	edwardlucas	RT @pauloCanning: In which I argue that 'Jamala's win must lead to support for Crimean Tatars'  https://t.co/b8joj2tM2d https://t.co/C0hS0T…	argue crimean jamala lead rt support tatars win	2	['@pauloCanning']	[]
42	edwardlucas	RT @vBeckerath: Those interested to learn more abt Crimean Tatars after @jamala win shld listen to Mustafa #Dzhemilev talk @UISweden https:…	abt crimean dzhemilev interested learn listen mustafa rt shld talk tatars win	2	['@vBeckerath', '@jamala', '@UISweden']	['#Dzhemilev']
43	wanderer1982	RT @LUGANSK_TODAY: My friends from #Luhansk meeting #Jamala at the airport in #Kiev! https://t.co/tatOURMldP	airport friends jamala kiev luhansk meeting rt	2	['@LUGANSK_TODAY']	['#Luhansk', '#Jamala', '#Kiev']
44	olex_scherba	RT @LUGANSK_TODAY: My friends from #Luhansk meeting #Jamala at the airport in #Kiev! https://t.co/tatOURMldP	airport friends jamala kiev luhansk meeting rt	2	['@LUGANSK_TODAY']	['#Luhansk', '#Jamala', '#Kiev']
45	TetyanaStadnyk	Great post on #LinkedIn re: @jamala victory and mentioning also the truth of what is happening in #Ukraine https://t.co/YmFbwX7I0e	great happening linkedin mentioning post re truth ukraine victory	2	['@jamala']	['#LinkedIn', '#Ukraine']
47	PaulNiland	RT @LUGANSK_TODAY: My friends from #Luhansk meeting #Jamala at the airport in #Kiev! https://t.co/tatOURMldP	airport friends jamala kiev luhansk meeting rt	2	['@LUGANSK_TODAY']	['#Luhansk', '#Jamala', '#Kiev']
48	JhonnyRedy	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…	ballad charged contest jamala politically rt singer song ukrainian won	2	['@nytimes', '@Eurovision']	[]
47	PaulNiland	RT @KenRoth: Jamala's victorious 1944 on plight of Crimean Tatars resonated since it's also about 2014. https://t.co/gvLUYrZeSz https://t…	1944 2014 crimean jamala plight resonated rt tatars victorious	1	['@KenRoth']	[]
49	novostidnua_en	RT @LUGANSK_TODAY: My friends from #Luhansk meeting #Jamala at the airport in #Kiev! https://t.co/tatOURMldP	airport friends jamala kiev luhansk meeting rt	2	['@LUGANSK_TODAY']	['#Luhansk', '#Jamala', '#Kiev']
51	EuromaidanPress	How do you like the ethnic cover of Jamala's 1944 by bandura, pipe and djembe? https://t.co/DI2VygUYPt  #Eurovision #Jamala #CrimeaIsUkraine	1944 bandura cover crimeaisukraine djembe ethnic eurovision jamala jamala pipe	2	[]	['#Eurovision', '#Jamala', '#CrimeaIsUkraine']
52	jimmy_jarkarta	RT @JuliaDavisNews: LOL- RT declares @jamala's victory as the day the music died and the death of #Eurovision. Hilariously bad losers! ht…	bad day death declares died eurovision hilariously ht lol losers music rt rt victory	2	['@JuliaDavisNews', '@jamala']	['#Eurovision']
39	wavetossed	Read this. #Ruslana is part of the #oligarch class. She rigged the vote that sent #Jamala to #Stockholm #Ukraine https://t.co/WhAdap16mg	class jamala oligarch part read rigged ruslana stockholm this ukraine vote	1	[]	['#Ruslana', '#oligarch', '#Jamala', '#Stockholm', '#Ukraine']
14	JakoVarrd	RT @margotwallstrom: Must remember fate of Crimean Tatars in 1944 and onwards. Congrats @jamala! #Eurovision2016	1944 congrats crimean eurovision2016 fate onwards remember rt tatars	2	['@margotwallstrom', '@jamala']	['#Eurovision2016']
54	porridgeisgood	RT @alexfed_uk: Allegedly, the parents of oppressed #Jamala live in the #Crimea have #Russian citizenship &amp; benefits 4 utility bills https:…	allegedly amp benefits bills citizenship crimea jamala live oppressed parents rt russian utility	1	['@alexfed_uk']	['#Jamala', '#Crimea', '#Russian']
39	wavetossed	RT @StormBringer15: Nazi Svoboda party is angry about #Jamala's #ESC2016 victory confirming that #Ukraine is not for Ukrainians. #Eurovisio…	angry confirming esc2016 eurovisio jamala nazi party rt svoboda ukraine ukrainians victory	1	['@StormBringer15']	['#Jamala', '#ESC2016', '#Ukraine', '#Eurovisio']
55	vita_zvm	RT @wiwibloggs: This is how we reacted in the press centre when @jamala won #Eurovision https://t.co/VhbgscTExR	centre eurovision press reacted rt won	2	['@wiwibloggs', '@jamala']	['#Eurovision']
56	gacal78	RT @Malcolmite: Oh &amp; by the way Jamala is the 3rd Muslim to win in Eurovision, not the 1st 😜	1st 3rd amp eurovision jamala muslim rt win	2	['@Malcolmite']	[]
9	ambassadorua	RT AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reaso… https://t.co/06SHpUKZys	abuse ambassadorpower amp crimean giving incredible jamala performance persecution reaso rt suffering tatars	2	[]	['#Jamala']
54	porridgeisgood	RT @StormBringer15: Nazi Svoboda party is angry about #Jamala's #ESC2016 victory confirming that #Ukraine is not for Ukrainians. #Eurovisio…	angry confirming esc2016 eurovisio jamala nazi party rt svoboda ukraine ukrainians victory	1	['@StormBringer15']	['#Jamala', '#ESC2016', '#Ukraine', '#Eurovisio']
58	riahazenberg	RT @ngumenyuk: How Ukraine has greeted #jamala @Eurovision winner back home in Kyiv #Crimea https://t.co/pPXXu55XID https://t.co/jWgIFXMmLn	back crimea greeted home jamala kyiv rt ukraine winner	2	['@ngumenyuk', '@Eurovision']	['#jamala', '#Crimea']
59	GrandeFormaggio	#Eurovision winner Jamala is #Muslim, #Ukrainian, and had a bash-#Russia song. I was blind not having predicted this rigged win. #ESC2016	bash blind esc2016 eurovision jamala muslim predicted rigged russia song ukrainian win winner	1	[]	['#Eurovision', '#Muslim', '#Ukrainian', '#Russia', '#ESC2016']
60	24todayneteng	Ukrainians met Jamala in Boryspil airport and thanked for victory. VIDEO+PHOTOS https://t.co/xiCcPpl4Xb https://t.co/7RU7EmZ7UA	airport boryspil jamala met photos thanked ukrainians victory video	2	[]	[]
61	UKRupdatestoday	RT @24todayneteng: Ukrainians met Jamala in Boryspil airport and thanked for victory. VIDEO+PHOTOS https://t.co/xiCcPpl4Xb https://t.co/7RU…	airport boryspil jamala met photos rt thanked ukrainians victory video	2	['@24todayneteng']	[]
62	OS1954	BBC News - Eurovision: How Twitter reacted to new voting and Jamala's win https://t.co/5dMyXG7dcU	bbc eurovision jamala news reacted twitter voting win	2	[]	[]
51	EuromaidanPress	#Eurovision: How #Twitter reacted to new voting and #Jamala win https://t.co/S9cSSFVqpH https://t.co/rNwfarmHDm	eurovision jamala reacted twitter voting win	2	[]	['#Eurovision', '#Twitter', '#Jamala']
63	hewasahero	RT @OS1954: BBC News - Eurovision: How Twitter reacted to new voting and Jamala's win https://t.co/5dMyXG7dcU	bbc eurovision jamala news reacted rt twitter voting win	2	['@OS1954']	[]
14	JakoVarrd	RT @EuromaidanPR: Trending Ukraine: Crimean girl Jamala beats Russia at Eurovision 2016  Read more:... https://t.co/DP0ervfil7	2016 beats crimean eurovision girl jamala more read rt russia trending ukraine	2	['@EuromaidanPR']	[]
66	BSBonner	RT @KyivPost: Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za	brings contest eurovision gallery jamala photo rt song ukraine victory	2	['@KyivPost']	['#Jamala', '#Ukraine', '#Eurovision']
66	BSBonner	RT @Eurovision: Congratulations to Jamala from Ukraine- winner of the 2016 #Eurovision Song Contest! https://t.co/SUEfwQhLVu	2016 congratulations contest eurovision jamala rt song ukraine winner	2	['@Eurovision']	['#Eurovision']
69	NTenzer	RT @TetyanaStadnyk: Great post on #LinkedIn re: @jamala victory and mentioning also the truth of what is happening in #Ukraine https://t.co…	great happening linkedin mentioning post re rt truth ukraine victory	2	['@TetyanaStadnyk', '@jamala']	['#LinkedIn', '#Ukraine']
70	Lexoid	RT @bjarnekim: https://t.co/FqLtfpK9AG  #FreeSavchenko #jamala1944 #Jamala  THERE ARE HEROES release Savchenko she has bigger balls than Pu…	balls bigger freesavchenko heroes jamala jamala1944 pu release rt savchenko	2	['@bjarnekim']	['#FreeSavchenko', '#jamala1944', '#Jamala']
70	Lexoid	RT @bjarnekim: https://t.co/FqLtfpK9AG #FreeSavchenko #jamala1944 #Jamala  CHURCHILL VERSION 2016 Pilot Savchenko  never have we owed so mu…	2016 churchill freesavchenko jamala jamala1944 mu owed pilot rt savchenko version	2	['@bjarnekim']	['#FreeSavchenko', '#jamala1944', '#Jamala']
70	Lexoid	RT @bjarnekim: https://t.co/nxIGS0QiJW #Jamala #FreeSavchenko CRIMEA 1944  cattle wagons  were filled with enemies of the people  children,…	1944 cattle children crimea enemies filled freesavchenko jamala people rt wagons	2	['@bjarnekim']	['#Jamala', '#FreeSavchenko']
70	Lexoid	RT @Rutenien: Euronews: Seven things we learned from Eurovision 2016: Ukraine's Jamala, the first Crimean Ta... https://t.co/vYj5I4F5Lj #Fr…	2016 crimean euronews eurovision fr jamala learned rt ta things ukraine	2	['@Rutenien']	['#Fr']
70	Lexoid	RT @sofiyaasher: .@stephenkb makes a hilarious play on cry me a river  Crimea river, Vladimir. #Eurovision @jamala  #FreeSavchenko	@stephenkb crimea cry eurovision freesavchenko hilarious makes play river river rt vladimir	2	['@sofiyaasher', '@stephenkb', '@jamala']	['#Eurovision', '#FreeSavchenko']
70	Lexoid	RT @JanDwarst: Congratulation Jamala you deserve it @jamala &amp; we wait fore #Freesavchenko &amp; all Ukraine prisonars #Free20 https://t.co/UdBA…	amp amp congratulation deserve fore free20 freesavchenko jamala prisonars rt ukraine wait	2	['@JanDwarst', '@jamala']	['#Freesavchenko', '#Free20']
70	Lexoid	RT @cesargeorgiy: @poroshenko wasn't call to #freeSavchenko, but very fast to #Jamala ...	call fast freesavchenko jamala rt	2	['@cesargeorgiy', '@poroshenko']	['#freeSavchenko', '#Jamala']
70	Lexoid	RT @AndrewHavryliv: #CrimeaIsUkraine #FreeSavchenko BBC News - Ukraine's Jamala wins Eurovision 2016 https://t.co/AYqadMtZG4	2016 bbc crimeaisukraine eurovision freesavchenko jamala news rt ukraine wins	2	['@AndrewHavryliv']	['#CrimeaIsUkraine', '#FreeSavchenko']
70	Lexoid	RT @DIMONition: After ##Jamala wining #Eurovision the 2nd victory will be when #Putin will #FreeSavchenko and #LetMyPeopleGo!! https://t.co…	2nd eurovision freesavchenko jamala letmypeoplego putin rt victory wining	2	['@DIMONition']	['#Jamala', '#Eurovision', '#Putin', '#FreeSavchenko', '#LetMyPeopleGo']
70	Lexoid	RT @Rutenien: Ukraine’s Jamala wins Eurovision: Ukraine’s singer Jamala won the first place at the Eurovisio... https://t.co/v0NXLUkync #Fr…	eurovisio eurovision fr jamala jamala place rt singer ukraine ukraine wins won	2	['@Rutenien']	['#Fr']
70	Lexoid	RT @kerziouk: Keep strong dear Nadiya You will be #FreeSavchenko again! #May14 #EurovisionSongContest #Jamala https://t.co/VHpVTHvgtS	again dear eurovisionsongcontest freesavchenko jamala may14 nadiya rt strong	2	['@kerziouk']	['#FreeSavchenko', '#May14', '#EurovisionSongContest', '#Jamala']
76	rlamsfuss	a loud SOS signal to the world from Crimean Tatars who are now facing massive repression in their homeland #jamala https://t.co/H5GvSpzijN	crimean facing homeland jamala loud massive repression signal sos tatars world	2	[]	['#jamala']
1	xLoveWavex	RT @EuroSongLyrics: You think you are gods, but everyone dies #UKR #2016 #Jamala	2016 dies gods jamala rt ukr	2	['@EuroSongLyrics']	['#UKR', '#2016', '#Jamala']
1	xLoveWavex	RT @EuroSongLyrics: They kill you all and say we are not guilty #UKR #2016 #Jamala	2016 guilty jamala kill rt ukr	2	['@EuroSongLyrics']	['#UKR', '#2016', '#Jamala']
77	yourprincessjpg	RT @EuroSongLyrics: They kill you all and say we are not guilty #UKR #2016 #Jamala	2016 guilty jamala kill rt ukr	2	['@EuroSongLyrics']	['#UKR', '#2016', '#Jamala']
42	edwardlucas	RT @rlamsfuss: a loud SOS signal to the world from Crimean Tatars who are now facing massive repression in their homeland #jamala https:/…	crimean facing homeland jamala loud massive repression rt signal sos tatars world	2	['@rlamsfuss']	['#jamala']
78	nkahirwa	RT @24todayneteng: Ukrainians met Jamala in Boryspil airport and thanked for victory. VIDEO+PHOTOS https://t.co/xiCcPpl4Xb https://t.co/7RU…	airport boryspil jamala met photos rt thanked ukrainians victory video	2	['@24todayneteng']	[]
76	rlamsfuss	RT @Omid_M: A song from #Ukraine about Stalin and ethnic cleansing wins #Eurovision - powerful performance by #jamala https://t.co/d9nUF6Yy…	cleansing ethnic eurovision  jamala performance powerful rt song stalin ukraine wins	2	['@Omid_M']	['#Ukraine', '#Eurovision', '#jamala']
42	edwardlucas	RT @UmlandAndreas: Why Russian chauvinists hate Crimean Tatars: Test of Jamala https://t.co/VPm42JJLbd	chauvinists crimean hate of jamala rt russian tatars test	2	['@UmlandAndreas']	[]
76	rlamsfuss	RT @DarthPutinKGB: #Jamala's #Eurovision song reminds us Soviet crimes never happened &amp; they never happened a long time ago.	ago amp crimes eurovision happened happened jamala long reminds rt song soviet time	2	['@DarthPutinKGB']	['#Jamala', '#Eurovision']
69	NTenzer	Great post @ellie_knott @Jamala's victory brings plight of #Crimea/n #Tatars to Eur audience https://t.co/lW4dDCUoPc https://t.co/VBTYRRdO9Z	audience brings crimea eur great plight post tatars victory	2	['@ellie_knott', '@Jamala']	['#Crimea', '#Tatars']
82	Sacha1120	RT @NTenzer: Great post @ellie_knott @Jamala's victory brings plight of #Crimea/n #Tatars to Eur audience https://t.co/lW4dDCUoPc https://t…	audience brings crimea eur great plight post rt tatars victory	2	['@NTenzer', '@ellie_knott', '@Jamala']	['#Crimea', '#Tatars']
84	CERAP_Paris	RT @NTenzer: Thank you Here's my piece on @Jamala #Jamala's Song: Vive la #Crimée libre! Long Life Free #Crimea! #CrimeaIsUkraine https://t…	crimea crimeaisukraine crimée free jamala la libre life long piece rt song vive	2	['@NTenzer', '@Jamala']	['#Jamala', '#Crimée', '#Crimea', '#CrimeaIsUkraine']
84	CERAP_Paris	RT @TetyanaStadnyk: Great post on #LinkedIn re: @jamala victory and mentioning also the truth of what is happening in #Ukraine https://t.co…	great happening linkedin mentioning post re rt truth ukraine victory	2	['@TetyanaStadnyk', '@jamala']	['#LinkedIn', '#Ukraine']
85	112NewsFeed	RT @24todayneteng: Ukrainians met Jamala in Boryspil airport and thanked for victory. VIDEO+PHOTOS https://t.co/xiCcPpl4Xb https://t.co/7RU…	airport boryspil jamala met photos rt thanked ukrainians victory video	2	['@24todayneteng']	[]
86	AndriiOlefirov	RT @jamala: Thank you for your love!   #джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr	cometogether eurovision eurovision_ukraine jamala jamala1944 love rt джамала	2	['@jamala']	['#джамала', '#jamala', '#eurovision', '#jamala1944', '#eurovision_ukraine', '#cometogether']
87	siegfridsfan	RT @jamala: Thank you for your love!   #джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr	cometogether eurovision eurovision_ukraine jamala jamala1944 love rt джамала	2	['@jamala']	['#джамала', '#jamala', '#eurovision', '#jamala1944', '#eurovision_ukraine', '#cometogether']
88	ESCSamuel	RT @jamala: Thank you for your love!   #джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr	cometogether eurovision eurovision_ukraine jamala jamala1944 love rt джамала	2	['@jamala']	['#джамала', '#jamala', '#eurovision', '#jamala1944', '#eurovision_ukraine', '#cometogether']
89	sinesque	RT @jamala: Thank you for your love!   #джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr	cometogether eurovision eurovision_ukraine jamala jamala1944 love rt джамала	2	['@jamala']	['#джамала', '#jamala', '#eurovision', '#jamala1944', '#eurovision_ukraine', '#cometogether']
90	pharaphrasing	RT @jamala: Thank you for your love!   #джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr	cometogether eurovision eurovision_ukraine jamala jamala1944 love rt джамала	2	['@jamala']	['#джамала', '#jamala', '#eurovision', '#jamala1944', '#eurovision_ukraine', '#cometogether']
92	Eurovisn_Turkey	RT @jamala: Thank you for your love!   #джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr	cometogether eurovision eurovision_ukraine jamala jamala1944 love rt джамала	2	['@jamala']	['#джамала', '#jamala', '#eurovision', '#jamala1944', '#eurovision_ukraine', '#cometogether']
93	escmegan	RT @jamala: Thank you for your love!   #джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr	cometogether eurovision eurovision_ukraine jamala jamala1944 love rt джамала	2	['@jamala']	['#джамала', '#jamala', '#eurovision', '#jamala1944', '#eurovision_ukraine', '#cometogether']
94	IDEFIE	RT @TetyanaStadnyk: Great post on #LinkedIn re: @jamala victory and mentioning also the truth of what is happening in #Ukraine https://t.co…	great happening linkedin mentioning post re rt truth ukraine victory	2	['@TetyanaStadnyk', '@jamala']	['#LinkedIn', '#Ukraine']
94	IDEFIE	RT @NTenzer: Thank you Here's my piece on @Jamala #Jamala's Song: Vive la #Crimée libre! Long Life Free #Crimea! #CrimeaIsUkraine https://t…	crimea crimeaisukraine crimée free jamala la libre life long piece rt song vive	2	['@NTenzer', '@Jamala']	['#Jamala', '#Crimée', '#Crimea', '#CrimeaIsUkraine']
96	XSovietNews	TASS: Crimean authorities propose that Jamala change her citizenship and return to her historical homeland. https://t.co/7joTlSzRA5	authorities change citizenship crimean historical homeland jamala propose return tass	1	[]	[]
97	_raindancer	RT @jamala: Thank you for your love!   #джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr	cometogether eurovision eurovision_ukraine jamala jamala1944 love rt джамала	2	['@jamala']	['#джамала', '#jamala', '#eurovision', '#jamala1944', '#eurovision_ukraine', '#cometogether']
82	Sacha1120	RT @TheOdessaReview: First calls to have #Odessa host #Eurovision2017 have been heard in wake of #Jamala victory! #jamala1944 #eurovision h…	calls eurovision eurovision2017 heard host jamala jamala1944 odessa rt victory wake	2	['@TheOdessaReview']	['#Odessa', '#Eurovision2017', '#Jamala', '#jamala1944', '#eurovision']
1	xLoveWavex	RT @musicnews_facts: Congratulations to Jamala from Ukraine, the winner of #Eurovision Song Contest 2016! https://t.co/7y09ynINMF	2016 congratulations contest eurovision jamala rt song ukraine winner	2	['@musicnews_facts']	['#Eurovision']
98	gh_joker	RT @jamala: Thank you for your love!   #джамала #jamala #eurovision #jamala1944 #eurovision_ukraine  #cometogether https://t.co/JKKFl9ZBTr	cometogether eurovision eurovision_ukraine jamala jamala1944 love rt джамала	2	['@jamala']	['#джамала', '#jamala', '#eurovision', '#jamala1944', '#eurovision_ukraine', '#cometogether']
92	Eurovisn_Turkey	RT @Istanbultelaviv: #Eurovision news flash: Turkish pres Erdogan calls Ukrainian singer Jamala to congratulate her on last Saturdays win h…	calls congratulate erdogan eurovision flash jamala news pres rt saturdays singer turkish ukrainian win	2	['@Istanbultelaviv']	['#Eurovision']
100	nvr_cry_wolf	RT @XSovietNews: TASS: Crimean authorities propose that Jamala change her citizenship and return to her historical homeland. https://t.co/7…	authorities change citizenship crimean historical homeland jamala propose return rt tass	1	['@XSovietNews']	[]
